source_file,source_url,type,status,status_code,href,resolved_url
blog\10-questions-to-ask-at-ard-meeting.html,https://www.texasspecialed.com/blog/10-questions-to-ask-at-ard-meeting,internal,MISSING FILE,,../download/ard-prep-3n8w.html,https://www.texasspecialed.com/blog/download/ard-prep-3n8w.html
blog\ard-meeting-tips.html,https://www.texasspecialed.com/blog/ard-meeting-tips,internal,MISSING FILE,,../download/ard-prep-3n8w.html,https://www.texasspecialed.com/blog/download/ard-prep-3n8w.html
blog\dyslexia-hb3928-changes.html,https://www.texasspecialed.com/blog/dyslexia-hb3928-changes,internal,MISSING FILE,,../download/dys-toolkit-7m2p.html,https://www.texasspecialed.com/blog/download/dys-toolkit-7m2p.html
blog\manifestation-determination.html,https://www.texasspecialed.com/blog/manifestation-determination,internal,MISSING FILE,,../download/bx-defense-5t1q.html,https://www.texasspecialed.com/blog/download/bx-defense-5t1q.html
blog\special-ed-discipline-texas.html,https://www.texasspecialed.com/blog/special-ed-discipline-texas,internal,MISSING FILE,,../download/bx-defense-5t1q.html,https://www.texasspecialed.com/blog/download/bx-defense-5t1q.html
blog\understanding-fiie-texas.html,https://www.texasspecialed.com/blog/understanding-fiie-texas,internal,MISSING FILE,,/resources/evaluation-request-template.pdf,https://www.texasspecialed.com/resources/evaluation-request-template.pdf
blog\understanding-fiie-texas.html,https://www.texasspecialed.com/blog/understanding-fiie-texas,internal,MISSING FILE,,/resources/evaluation-request-template.pdf,https://www.texasspecialed.com/resources/evaluation-request-template.pdf
blog\what-is-fie.html,https://www.texasspecialed.com/blog/what-is-fie,internal,MISSING FILE,,/blog/fie-timeline-texas-45-school-days,https://www.texasspecialed.com/blog/fie-timeline-texas-45-school-days
blog\what-is-fie.html,https://www.texasspecialed.com/blog/what-is-fie,internal,MISSING FILE,,/resources/free-ard-checklist,https://www.texasspecialed.com/resources/free-ard-checklist
blog\what-to-do-when-school-denies-evaluation.html,https://www.texasspecialed.com/blog/what-to-do-when-school-denies-evaluation,internal,MISSING FILE,,/resources/evaluation-request-template.pdf,https://www.texasspecialed.com/resources/evaluation-request-template.pdf
districts\abilene-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/abilene-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/abilene-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\abilene-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/abilene-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/abilene-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\abilene-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/abilene-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/abilene-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
